n,seconds
1,0.0000010210
2,0.0000017670
3,0.0000033420
4,0.0000071510
5,0.0000153010
6,0.0000338200
7,0.0000763800
8,0.0001937950
9,0.0003658220
10,0.0007940560
11,0.0016780380
12,0.0036265970
13,0.0076737430
14,0.0163569610
15,0.0350457430
16,0.0738075230
17,0.1564312580
18,0.3264007050
19,0.7651228550
20,1.4404788600
21,3.1136104270
22,7.0453325440
