n,seconds
1,0.0000079320
2,0.0000020930
3,0.0000035320
4,0.0000078310
5,0.0000194970
6,0.0000477080
7,0.0000955050
8,0.0002130090
9,0.0004145240
10,0.0008730000
11,0.0021357880
12,0.0043118320
13,0.0085988610
14,0.0196122080
15,0.0397020260
16,0.0809657650
17,0.1770509980
18,0.3831062340
19,0.7869464830
20,1.5728138970
21,3.1860078510
22,6.5944390340
